number,label,status,composite,computational_handle,counterexample_reachable,accessibility,depth_required,problem_type,attack_vector,rationale,statement
148,#148,open,56.0,4,1,4,2,exact_value,"Enumerate all Egyptian fraction representations of 1 with exactly k distinct unit fractions for small k (k=1..8) and count them to build a table, then fit asymptotic formulas.","F(k) counts representations of 1 as a sum of exactly k distinct unit fractions; objects are elementary and small cases are directly computable. However, finding sharp asymptotic estimates for F(k) as k grows is a hard analytic/combinatorial problem unlikely to yield to computation alone.","$$1 = \frac{1}{n_1} + \cdots + \frac{1}{n_k},$$ where $1 \leq n_1 < \cdots < n_k$ are distinct integers. Find good estimates for $F(k)$."
222,#222,open,56.0,4,1,4,2,asymptotic,"Enumerate all sums of two squares up to 10^7, compute consecutive differences, find largest gaps and compare with known asymptotic estimates like n_k^{1/4} or log factors","The objects are elementary (integers that are sums of two squares) and gaps are directly computable, making empirical exploration feasible. However, proving sharp bounds on maximal gaps requires deep multiplicative number theory (distribution of smooth numbers, Landau-Ramanujan theorem), so the problem resists resolution by computation alone.",Let $n_1 < n_2 < \cdots$ be the sequence of integers which are the sum of two squares. Explore the behaviour of (i.e. find good upper and lower bounds for) the consecutive differences $n_{k+1} - n_k$.
311,#311,open,56.0,4,1,4,2,asymptotic,Compute δ(N) exactly for small N (via subset-sum search over unit fractions) and fit log(δ(N))/N to estimate c empirically,"The objects are elementary (subsets, unit fractions) and small cases are directly computable via exhaustive or dynamic-programming subset-sum search, giving concrete data on the exponential decay rate. However, pinning down the asymptotic constant c rigorously likely requires deep analytic or probabilistic number theory, making proof-level resolution very hard.","Let $\delta(N)$ be the minimal non-zero value of $\left|1 - \sum_{n \in A} \frac{1}{n}\right|$ as $A$ ranges over all subsets of $\{1, \ldots, N\}$. Is it true that $$\delta(N) = e^{-(c+o(1))N}$$ for some constant $c \in (0,1)$?"
320,#320,open,56.0,4,1,4,2,asymptotic,"Write code to enumerate all subset sums of {1,...,N} for small N (N up to ~20) and look for a pattern in log S(N) to guess asymptotic growth rate","The objects are elementary (subset sums of unit fractions) and small cases are directly computable, but the core challenge is an asymptotic estimate requiring analytic/combinatorial insight about collision rates among rational sums. Computational experiments can suggest the growth rate but won't resolve the asymptotic question.","Let $S(N)$ count the number of distinct sums of the form $\sum_{n\in A} \frac{1}{n}$ for $A \subseteq \{1,\ldots,N\}$. Estimate $S(N)$."
321,#321,open,56.0,4,1,4,2,exact_value,"Computationally find optimal sets A for small N via greedy/brute-force, look for patterns in the sizes to conjecture an asymptotic formula","The objects are elementary (subsets of integers with distinct subset-sum reciprocals), and small cases are fully computable by enumeration. However, the problem asks for an exact/asymptotic answer as a function of N, which likely requires analytic number theory to resolve beyond computational evidence.","What is the size of the largest $A \subseteq \{1,\ldots,N\}$ such that all sums $\sum_{n \in S} \frac{1}{n}$ are distinct for $S \subseteq A$?"
322,#322,open,56.0,4,1,4,2,existence,"For k=3,4,5 compute r_k(n) for n up to 10^7 and look for rapid growth; fit log-log plots to estimate if n^c growth is plausible","The objects are elementary (k-th powers, representation counts) and small cases are directly computable, giving experimental evidence about growth rates. However, proving any positive result likely requires deep Hardy-Littlewood circle method or algebraic number theory, making this a hard target despite computational accessibility.","Let $k \geq 3$ and $A \subset \mathbb{N}$ be the set of $k$th powers. What is the order of growth of $1_A^{(k)}(n)$, i.e. the number of representations of $n$ as the sum of $k$ many $k$th powers? Does there exist some $c > 0$ and infinitely many $n$ such that $$1_A^{(k)}(n) > n^c?$$"
390,#390,open,56.0,4,1,4,2,asymptotic,"Compute f(n) for n up to ~200 by greedily factoring n! into distinct factors > n, minimizing the largest; then plot (f(n)-2n)*log(n)/n to estimate c empirically.","The objects are elementary (factorials, distinct integer factorizations) and f(n) is directly computable for moderate n via optimization/greedy search. However, proving the asymptotic with a specific constant likely requires analytic number theory, making it hard to resolve fully; computation can strongly suggest the value of c.",Let $f(n)$ be the minimal $m$ such that $n! = a_1 \cdots a_k$ with $n < a_1 < \cdots < a_k = m$. Is there (and what is it) a constant $c$ such that $f(n) - 2n \sim c\frac{n}{\log n}$?
393,#393,open,56.0,4,1,4,2,asymptotic,"For small n, enumerate all factorizations of n! into distinct integers and find the one minimizing (max-min); tabulate f(n) to spot growth rate","Objects are elementary (factorials, integer factorizations) and f(n) is directly computable for small n by brute-force search over factorizations of n!. The question asks about asymptotic behavior, so computation can generate strong data but won't fully resolve the problem.",Let $f(n)$ denote the minimal $m \geq 1$ such that $n! = a_1 \cdots a_t$ with $a_1 < \cdots < a_t = a_1 + m$. What is the behaviour of $f(n)$?
417,#417,open,56.0,4,1,4,2,existence,"Compute V(x) and V'(x) for x up to 10^7 by enumerating phi(m) values, then plot V(x)/V'(x) to see if ratio stabilizes and estimate its limit empirically.","The objects are elementary (Euler's totient function, counting distinct values) and small cases are directly computable, giving strong numerical evidence about convergence and the limit value. However, proving the limit exists or computing it exactly likely requires deep analytic number theory about the distribution of totient values.",Let \[V'(x) = \#\{\phi(m) : 1 \le m \le x\}\] and \[V(x) = \#\{\phi(m) \le x : 1 \le m\}.\] Does $\lim V(x)/V'(x)$ exist? Is it $> 1$?
423,#423,open,56.0,4,1,4,2,asymptotic,"Generate the sequence computationally to large n, fit a_n vs n to find empirical growth rate (linear? polynomial? exponential?), then conjecture the asymptotic form.","The sequence is elementarily defined and easy to compute via simulation, giving strong empirical evidence for the asymptotic growth rate. However, proving the asymptotic result rigorously likely requires nontrivial analytic or combinatorial arguments, and no counterexample search applies since it's an asymptotic question.",Let $a_1 = 1$ and $a_2 = 2$ and for $k \geq 3$ choose $a_k$ to be the least integer $> a_{k-1}$ which is the sum of at least two consecutive terms of the sequence. What is the asymptotic behaviour of this sequence?
469,#469,open,56.0,4,1,4,2,existence,"Enumerate A up to 10^6-10^7: for each n, check if n equals a sum of distinct proper divisors, then verify no proper divisor m<n has the same property; estimate density and partial sums to guess convergence.","The set A involves elementary divisibility and subset-sum checks, making computational enumeration feasible. The convergence question hinges on the density of A, which experiments can strongly suggest but not prove.","Let $A$ be the set of all $n$ such that $n = d_1 + \cdots + d_k$ with $d_i$ distinct proper divisors of $n$, but this is not true for any $m \mid n$ with $m < n$. Does $$\sum_{n \in A} \frac{1}{n}$$ converge?"
478,#478,open,56.0,4,1,4,2,asymptotic,"Compute |A_p| for all primes p up to 10^6, plot |A_p|/p, and check convergence to 1-1/e ≈ 0.6321","Objects are elementary (factorials mod p) and computation is straightforward for moderate primes, giving strong numerical evidence for or against the asymptotic. However, proving the limit likely requires deep analytic number theory about the distribution of factorial residues, making it hard to resolve formally.",Let $p$ be a prime and $A_p = \{k! \pmod{p} : 1 \leq k < p\}$. Is it true that $|A_p| \sim (1 - 1/e)p$?
535,#535,open,56.0,4,1,4,2,asymptotic,"For small N and r=3, enumerate maximal subsets of {1..N} avoiding r elements with all pairwise gcds equal, compute f_r(N) for N up to ~100, look for growth rate pattern (linear? N/log N?)","The objects are elementary (integers, gcd) and small cases are directly computable via search, giving experimental data on the growth rate. However, this is an asymptotic estimation problem so no counterexample applies, and pinning down the true order likely requires analytic number theory beyond straightforward techniques.","Let $r \geq 3$, and let $f_r(N)$ denote the size of the largest subset of $\{1,\ldots, N\}$ such that no subset of size $r$ has the same pairwise greatest common divisor between all elements. Estimate $f_r(N)$."
539,#539,open,56.0,4,1,4,2,asymptotic,"Write code to compute min over all sets A of size n (up to n~15) of |{a/gcd(a,b): a,b in A}|, then look for tight constructions (e.g., geometric progressions or smooth numbers) to conjecture the asymptotic of h(n).","The objects are elementary (integers, gcd, set sizes) and small cases are directly computable by brute force. The challenge is finding both optimal constructions and matching lower bounds asymptotically, which likely requires non-trivial combinatorial number theory.","Let $h(n)$ be such that, for any set $A \subseteq \mathbb{N}$ of size $n$, the set \[ \left\{ \frac{a}{(a,b)} : a, b \in A \right\} \] has size at least $h(n)$. Estimate $h(n)$."
689,#689,open,56.0,4,1,4,2,existence,"For small n, enumerate primes up to n and try to assign congruence classes a_p (via greedy or SAT solver) so every integer in [1,n] is hit at least twice; check feasibility and find the threshold.","Objects are elementary (primes, congruences, integers) and the problem is computationally tractable for small n via constraint satisfaction or greedy assignment. The existence question likely hinges on a probabilistic/covering argument, but small cases can give strong evidence for or against.","Let $n$ be sufficiently large. Is there some choice of congruence class $a_p$ for all primes $2 \le p \le n$ such that every integer in $[1,n]$ satisfies at least two of the congruences $\equiv a_p \pmod{p}$?"
710,#710,open,56.0,4,1,4,2,asymptotic,"Write code to compute f(n) exactly for n up to ~200 by greedy/LP search, then fit asymptotic behavior (likely cn log n or similar) and conjecture the constant.","Objects are elementary (divisibility, integers in intervals) and f(n) is directly computable for small n via search or greedy assignment. The challenge is proving any asymptotic formula, which likely requires analytic number theory, but experiments can strongly suggest the answer.","Let $f(n)$ be minimal such that in $(n, n + f(n))$ there exist distinct integers $a_1, \ldots, a_n$ such that $k \mid a_k$ for all $1 \leq k \leq n$. Obtain an asymptotic formula for $f(n)$."
731,#731,open,56.0,4,1,4,2,asymptotic,"Compute the least non-divisor of C(2n,n) for n up to 10^6, plot against candidate functions like log(n) or primes, and fit asymptotically.","The objects are elementary (central binomial coefficients, divisibility) and small cases are directly computable, making empirical discovery of f(n) feasible via code. However, proving the asymptotic rigorously likely requires deep analytic number theory about prime distributions in binomial coefficients.","Find some reasonable function $f(n)$ such that, for almost all integers $n$, the least integer $m$ such that $m \nmid \binom{2n}{n}$ satisfies $m \sim f(n)$."
821,#821,open,56.0,4,1,4,2,existence,"Compute g(n) for all n up to 10^7, find highly-totient numbers, check if g(n)/n^{1-eps} grows or stays bounded for small eps","The objects are elementary (Euler's totient, counting preimages) and small cases are fully computable. However this is an existence/asymptotic claim about infinitely many n, so no finite computation resolves it, though experiments can strongly suggest the answer.","Let $g(n)$ count the number of $m$ such that $\phi(m) = n$. Is it true that, for every $\epsilon > 0$, there exist infinitely many $n$ such that $g(n) > n^{1-\epsilon}$?"
824,#824,open,56.0,4,1,4,2,asymptotic,"Compute h(x) for x up to 10^6-10^7 by precomputing sigma values, grouping equal sigma values, checking coprimality, and fitting growth rate to estimate the exponent empirically.","The objects (sigma function, coprimality) are elementary and directly computable, making large-scale experiments feasible to gather evidence about the growth rate. However, the problem is asymptotic in nature—computation can inform the conjecture but not resolve it, and proving the lower bound likely requires analytic number theory techniques beyond standard approaches.","Let $h(x)$ count the number of integers $1 \le a < b < x$ such that $(a,b) = 1$ and $\sigma(a) = \sigma(b)$, where $\sigma$ is the sum of divisors function. Is it true that $h(x) > x^{2-o(1)}$?"
852,#852,open,56.0,4,1,4,2,asymptotic,"Compute prime gaps up to 10^8, extract maximal runs of distinct consecutive gaps, plot h(x) vs log x to test the conjectured bounds empirically","Prime gaps are elementary objects and h(x) is directly computable from a prime table, making experiments feasible up to moderate x. However, proving either bound likely requires deep analytic number theory (distribution of prime gap patterns), so this is computationally informative but proof-resistant.","Let $d_n = p_{n+1} - p_n$, where $p_n$ is the $n$th prime. Let $h(x)$ be maximal such that for some $n < x$ the numbers $d_n, d_{n+1}, \ldots, d_{n+h(x)-1}$ are all distinct. Estimate $h(x)$. In particular, $h(x) > (\log x)^c$ for some constant $c > 0$, and $h(x) = o(\log x)$?"
853,#853,open,56.0,4,1,4,2,asymptotic,Compute r(x) for x up to 10^7 by finding all prime gaps up to that index and tracking which even values are missing; plot r(x)/log(x) to see if it diverges,"The objects are elementary (prime gaps, basic counting) and r(x) is directly computable for moderate x. However the problem asks whether a certain minimum tends to infinity, which is asymptotic in nature and likely requires deep results about prime gap distributions to prove.","Let $d_n = p_{n+1} - p_n$, where $p_n$ is the $n$th prime. Let $r(x)$ be the smallest even integer $t$ such that $d_n = t$ has no solutions for $n \le x$. Is it true that $r(x) \to \infty$? Or even $r(x)/\log x \to \infty$?"
928,#928,open,56.0,4,1,4,2,existence,"Compute for small N (say up to 10^7) the fraction of integers where P(n)<n^alpha and P(n+1)<(n+1)^beta for various alpha,beta pairs, and check if the running density stabilizes; compare with Dickman rho(1/alpha)*rho(1/beta) as a conjectured value.","The objects are elementary (largest prime factor, smooth numbers) and density questions on smooth consecutive integers are computationally approachable via sieves or direct enumeration. The problem is whether the density exists (not just its value), but numerical evidence could strongly suggest convergence and even the limiting value via Dickman's function, making this a reasonable computational target.","Let $\alpha, \beta \in (0,1)$ and let $P(n)$ denote the largest prime divisor of $n$. Does the density of integers $n$ such that $P(n) < n^\alpha$ and $P(n+1) < (n+1)^\beta$ exist?"
932,#932,open,56.0,4,1,4,2,existence,"For each prime gap (p_r, p_{r+1}), count integers in the gap whose prime factors are all less than (p_{r+1}-p_r); search over many primes for gaps where at least 2 such smooth numbers exist.","Objects are elementary (primes, smooth numbers, prime gaps) and directly computable. The claim is an existence statement about infinitely many r, so computation can find supporting examples but not prove the infinite claim; however strong computational evidence from large prime gap instances would be meaningful.",Let $p_k$ denote the $k$th prime. For infinitely many $r$ there are at least two integers $p_r < n < p_{r+1}$ all of whose prime factors are $< p_{r+1} - p_r$.
971,#971,open,56.0,4,1,4,2,existence,"For small d, compute p(a,d) for all valid a, check what fraction exceed (1+c)*phi(d)*log(d) for various c values, and see if a positive fraction consistently satisfies this across growing d.","The objects are elementary (primes in arithmetic progressions, Euler's phi) and the question is computationally approachable for moderate d by directly computing least primes in each residue class. However, resolving the existence of such c requires understanding the distribution of least primes in APs beyond what GRH currently gives, so depth is needed.","Let $p(a, d)$ be the least prime congruent to $a$ (mod $d$). Does there exist a constant $c > 0$ such that, for all large $d$, \[p(a, d) > (1 + c)\phi(d) \log d\] for $\gg \phi(d)$ many values of $a$?"
972,#972,open,56.0,4,1,4,2,universal,"Fix alpha=sqrt(2), enumerate primes p up to 10^7, check if floor(p*sqrt(2)) is prime, gather statistical evidence for density","Objects are elementary (primes, floor function, irrationals) and small cases are directly computable, giving strong heuristic evidence. However this is an existence/infinitude claim so no counterexample search applies, and proving it likely requires deep analytic number theory (Piatetski-Shapiro type methods).",Let $\alpha > 1$ be irrational. Are there infinitely many primes $p$ such that $\lfloor p\alpha \rfloor$ is also prime?
1061,#1061,open,56.0,4,1,4,2,asymptotic,"Enumerate all pairs (a,b) with a+b <= N for moderate N (e.g., N=10^6), count solutions, plot count/N to estimate c empirically","The objects are elementary (sigma function, integer pairs) and solutions are directly enumerable by code, giving strong empirical evidence for or against the cx asymptotic. However, proving the asymptotic likely requires deep analytic number theory, so computational work can only inform the conjecture, not resolve it.","How many solutions are there to $\sigma(a) + \sigma(b) = \sigma(a + b)$ with $a + b \le x$, where $\sigma$ is the sum of divisors function? Is it $\sim cx$ for some constant $c > 0$?"
1095,#1095,open,56.0,4,1,4,2,asymptotic,Compute g(k) for all k up to ~200 by factoring binomial coefficients and checking prime factors; look for patterns/fits against k log k or similar functions,"The objects are elementary (binomial coefficients, prime factors) and g(k) is directly computable for moderate k by trial. However, the problem asks for an estimate/asymptotic, so no counterexample is relevant and deeper analytic number theory is needed for a rigorous answer.",Let $g(k) > k + 1$ be the smallest $n$ such that all prime factors of $\binom{n}{k}$ are $> k$. Estimate $g(k)$.
1204,#1204,open,56.0,4,1,4,2,asymptotic,"Compute optimal admissible tuples for small k by brute-force search (checking admissibility via sieve), tabulate A(k) and B(k), fit to k log k",Admissible sequences (prime tuples conjecture inputs) are elementary to define and check computationally; for small k one can search exhaustively for minimal admissible sets to gather strong numerical evidence about A(k)~k log k and B(k). The asymptotic question is hard to prove but experiments are very concrete and informative.,We call a sequence of integers $0 \le a_1 < \cdots < a_k$ admissible if it is missing at least one congruence class modulo every prime $p$. Let $A(k) = \min a_k$. Estimate $A(k)$ - in $$A(k) \sim k \log k?$$ Estimate $$B(k) = \min \frac{a_1 + \cdots + a_k}{k}.$$
330,seq330,,56.0,4,1,4,2,asymptotic,"For fixed n and epsilon, computationally estimate y(epsilon,n) by scanning intervals (x, x+y) over many x values and measuring fraction of integers with a divisor in (n,2n), then compare with theoretical bounds.","The objects are elementary (integers, divisors, intervals) and small cases are directly computable, making experimental estimation of y(epsilon,n) feasible. However, finding the exact asymptotic formula likely requires deep analytic number theory (related to the Erdős–Tenenbaum work on the distribution of divisors), limiting computational resolution.","How large must $y = y(\epsilon, n)$ be such that the number of integers in $(x, x + y)$ with a divisor in $(n, 2n)$ is at most $\epsilon y$?"
12,#12,open,55.0,3,2,4,2,existence,"Computationally search for large B_0-like sets satisfying the divisibility condition up to N~10^4, measure density growth, and check if liminf |A∩[1,N]|/N^{1/2}>0 is plausible","The objects (integers, divisibility, counting) are elementary and the condition is concrete, making small-scale experiments feasible. However, the three sub-questions are asymptotic/existential in nature, so computation can only provide heuristic evidence rather than resolution.","Let $A$ be an infinite set such that there are no distinct $a, b, c \in A$ such that $a \mid (b + c)$ and $b, c > a$. Is there such an $A$ with $$\liminf \frac{|A \cap \{1,\ldots,N\}|}{N^{1/2}} > 0?$$ Does there exist some absolute constant $c > 0$ such that there are always infinitely many $N$ with $$|A \cap \{1,\ldots,N\}| < N^{1-c}?$$ Is it true that $$\sum_{n \in A} \frac{1}{n} < \infty?$$"
28,#28,open,55.0,3,2,4,2,universal,Construct dense sets A where A+A covers all sufficiently large integers but try to keep representation counts bounded; search for near-counterexamples computationally up to N~10^4,"Objects are elementary (sets of natural numbers, sumsets, representation functions) making it accessible, but the claim is a non-trivial additive combinatorics result where a counterexample would require a set with bounded additive energy yet near-complete sumset coverage—likely impossible by standard arguments but hard to disprove computationally. Finite experiments can probe small cases but cannot settle the asymptotic limsup condition.",If $A \subseteq \mathbb{N}$ is such that $A + A$ contains all but finitely many integers then $\limsup 1_A * 1_A(n) = \infty$.
32,#32,open,55.0,3,2,4,2,existence,Computationally search for small sets A covering all integers up to N as p+a; measure |A∩{1..N}|/log(N) to test the log N conjecture empirically,"The objects are elementary (primes, natural numbers, additive representation) and small cases are computable, but the asymptotic/density questions ultimately require analytic number theory (sieve methods, Goldbach-type arguments) beyond finite verification. Computational experiments can probe the log N threshold but cannot resolve the existence or necessity questions.","Is there a set $A \subset \mathbb{N}$ such that $|A \cap \{1,\ldots,N\}| = o((\log N)^2)$ and such that every large integer can be written as $p + a$ for some prime $p$ and $a \in A$? Can the bound $O(\log N)$ be achieved? Must such an $A$ satisfy $\liminf \frac{|A \cap \{1,\ldots,N\}|}{\log N} > 1$?"
33,#33,open,55.0,3,2,4,2,other,"Computationally search for small sets A up to N=10000 that cover all integers as n^2+a, measuring |A∩[1,N]|/sqrt(N) to estimate the limsup constant","The objects are elementary (integers, squares, counting functions) and small-case experiments can estimate the optimal limsup constant, but the true asymptotic value likely requires analytic/combinatorial proof. The liminf question is a separate yes/no claim that computation can inform but not resolve.","Let $A \subset \mathbb{N}$ be such that every large integer can be written as $n^2 + a$ for some $a \in A$ and $n \geq 0$. What is the smallest possible value of $\limsup \frac{|A \cap \{1, \ldots, N\}|}{N^{1/2}}$? Is $\liminf \frac{|A \cap \{1, \ldots, N\}|}{N^{1/2}} > 1$?"
41,#41,open,55.0,3,2,4,2,universal,"Construct dense B3-like sets computationally up to N~10^6 and measure |A∩[1,N]|/N^{1/3} to see if it stays bounded away from 0, informing the liminf question","The objects (sets of integers with distinct triple sums, i.e., B3 sets) are elementary to define and experiment with, but the liminf question is asymptotic and a counterexample would require an explicit infinite set with persistently large density N^{1/3}, which is hard to construct or refute computationally. The problem likely requires a non-trivial analytic number theory argument.","Let $A \subset \mathbb{N}$ be an infinite set such that the triple sums $a + b + c$ are all distinct for $a, b, c \in A$ (aside from the trivial coincidences). Is it true that $$\liminf_{N \to \infty} \frac{|A \cap \{1, \ldots, N\}|}{N^{1/3}} = 0?$$"
495,#495,open,55.0,3,2,4,2,universal,"Compute min_{1<=n<=N} n*||n*alpha||*||n*beta|| for random/adversarial alpha,beta pairs up to N=10^7 to see if it approaches 0","This is the Littlewood conjecture, a famous open problem in Diophantine approximation; objects are elementary but the problem is deeply hard, resisting proof for decades. Computation can verify it numerically for specific pairs but cannot find a counterexample since none are known to exist and the search space is infinite/continuous.","Let $\alpha, \beta \in \mathbb{R}$. Is it true that $$\liminf_{n\to\infty} n\|n\alpha\|\|n\beta\| = 0$$ where $\|x\|$ is the distance from $x$ to the nearest integer?"
538,#538,open,55.0,3,2,4,2,exact_value,"Compute optimal sets A for small N and r=2,3 by greedy/LP to guess the extremal constant, then compare with known sieve bounds.","The objects are elementary (primes, integers, divisibility) and the problem asks for a sharp constant in a sieve-type inequality. Some computation can probe extremal configurations, but the sharp bound likely requires analytic number theory / sieve methods to prove.","Let $r \geq 2$ and suppose that $A \subseteq \{1, \ldots, N\}$ is such that, for any $m$, there are at most $r$ solutions to $m = pa$ where $p$ is prime and $a \in A$. Give the best possible upper bound for $$\sum_{n \in A} \frac{1}{n}.$$"
774,#774,open,55.0,3,2,4,2,universal,Construct candidate sets A that are proportionately dissociated but resist finite partition into dissociated sets; test small structured examples computationally for dissociated subset sizes and partition feasibility.,"Objects are elementary (subsets of naturals, subset sums) and the property is checkable on finite pieces, but verifying proportionate dissociation and ruling out finite dissociated covers requires checking exponentially many subsets. The problem likely requires a clever construction or structural insight beyond what finite search can resolve.","We call $A \subset \mathbb{N}$ dissociated if $\sum_{n\in X} n \neq \sum_{m\in Y} m$ for all finite $X,Y \subset A$ with $X \neq Y$. Let $A \subset \mathbb{N}$ be an infinite set. We call $A$ proportionately dissociated if every finite $B \subset A$ contains a dissociated set of size $\gg |B|$. Is every proportionately dissociated set the union of a finite number of dissociated sets?"
839,#839,open,55.0,3,2,4,2,universal,"Enumerate maximal such sequences up to N~10000 by greedy/backtracking, measure a_n/n and the log-weighted density to see if either claim looks false","The objects are elementary integer sequences with a simple forbidden-sum condition, making computation feasible for moderate N. However, finding a counterexample requires constructing a dense sequence avoiding all consecutive-sum conditions, which seems hard, and the limsup/density questions are inherently asymptotic, limiting computational resolution.",Let $1 \le a_1 < a_2 < \cdots$ be a sequence of integers such that no $a_i$ is the sum of consecutive $a_j$ for $j < i$. Is it true that $$\limsup \frac{a_n}{n} = \infty?$$ Or even $$\lim \frac{1}{\log x} \sum_{a_n < x} \frac{1}{a_n} = 0?$$
935,#935,open,55.0,3,2,4,2,asymptotic,"Compute Q2(n(n+1)...(n+l)) for small l (e.g. l=2,3) over large ranges of n to empirically check the n^2 and n^(l+1) bounds and find near-extremal examples","The objects (powerful part of products of consecutive integers) are elementary and computable, but all three sub-questions are asymptotic/limsup claims requiring deep analytic number theory (ABC conjecture territory). Computation can build intuition and check growth rates empirically but cannot settle any of the three claims.","For any integer $n = \prod p^{k_p}$ let $Q_2(n)$ be the powerful part of $n$, so that $$Q_2(n) = \prod_{p, k_p \geq 2} p^{k_p}.$$ Is it true that, for every $\epsilon > 0$ and $\ell \geq 1$, if $n$ is sufficiently large then $$Q_2(n(n+1) \cdots (n+\ell)) < n^{2+\epsilon}?$$ If $\ell \geq 2$ then is $$\limsup_{n \to \infty} \frac{Q_2(n(n+1) \cdots (n+\ell))}{n^2}$$ infinite? If $\ell \geq 2$ then is $$\lim_{n \to \infty} \frac{Q_2(n(n+1) \cdots (n+\ell))}{n^{\ell+1}} = 0?$$"
955,#955,open,55.0,3,2,4,2,universal,needs proof - deprioritize,"The objects (sum of proper divisors, natural density) are elementary, but the claim is a non-trivial analytic number theory statement about the distribution of s(n). Computational experiments can probe density heuristics for specific sets A but cannot settle the general asymptotic claim, and no small counterexample is plausible since density is an asymptotic concept.",Let $s(n) = \sigma(n) - n = \sum_{\substack{d \mid n \\ d < n}} d$ be the sum of proper divisors function. If $A \subset \mathbb{N}$ has density $0$ then $s^{-1}(A)$ must also have density $0$.
1209,#1209,open,55.0,3,2,4,2,existence,"Computationally search for n such that n+2^(2^k) is prime or squarefree for k=0,1,2,3,4; gather heuristic evidence on density of such n","The objects (primes, squarefrees, powers of 2) are elementary and small cases are computable, but the core questions are deeply tied to prime distribution and sieve theory with no known finite certificate. Computational experiments can provide heuristic data but cannot resolve any of the infinitary sub-questions.","Let $A = \{a_1 < a_2 < \cdots\}$ be a sequence of integers which tends to infinity sufficiently fast. If there is an $n$ such that all $n + a_k$ are primes then must there exist infinitely many such $n$? What if we ask for $n + a_k$ to be squarefree instead of prime? Are there $n$ such that $n + 2^{2^k}$ is always a prime (or always squarefree, or infinitely often a prime, or infinitely often squarefree)?"
328,seq328,open,55.0,4,1,3,3,existence,"Compute the double sum numerically for increasing n to see if partial sums converge or diverge, using known prime lists and binomial coefficients mod primes.","The objects are elementary (primes, binomial coefficients) and the sum can be computed directly for moderate n using Kummer's theorem or direct computation to gather strong numerical evidence about convergence. The main difficulty is connecting numerical evidence to a proof, but the computational handle is genuine.",Is there some absolute constant $C > 0$ such that $$\sum_{p \leq n} \frac{1}{p\binom{2n}{n}} \frac{1}{p} \leq C$$
477,#477,open,54.0,3,2,3,3,other,"Enumerate small finite quotient cases: fix Z/NZ, search for pairs (A, image(f)) that tile Z/NZ exactly, looking for structural patterns","This is a characterization problem about perfect difference/tiling decompositions of Z, related to B_h sets and factorizations of abelian groups—standard combinatorial number theory but open in full generality. Finite modular experiments can find examples and suggest structure but cannot resolve the full characterization.",For which sets $A \subseteq \mathbb{Z}$ and functions $f: \mathbb{Z} \to \mathbb{Z}$ is it true that for every $n \in \mathbb{Z}$ there is exactly one $a \in A$ and $b \in \{f(k) : k \in \mathbb{Z}\}$ such that $n = a + b$?
10,#10,open,53.0,3,1,5,2,existence,"For small k (e.g., k=1,2,3), computationally find the largest integer not expressible as prime + at most k powers of 2, or show the exceptions grow without bound","Objects are elementary (primes and powers of 2), and Crocker/Romanoff results give context, but the core question is existence of a finite k which is an asymptotic/existence claim not resolvable by finite search. Computational experiments can map out exceptions for fixed small k but cannot confirm the property holds for all large integers.",Is there some $k$ such that every large integer is the sum of a prime and at most $k$ powers of $2$?
368,#368,open,53.0,3,1,5,2,asymptotic,"compute largest prime factor of n(n+1) for n up to 10^7, compare growth rates against log n, n^epsilon benchmarks","The objects are completely elementary (integers, prime factors), but the question is asymptotic/analytic in nature—asking how P+(n(n+1)) grows, likely tied to smooth number theory and results like those of Granville or Hildebrand-Tenenbaum. Computation can illustrate growth but cannot resolve the asymptotic question, which requires deep analytic number theory.",How large is the largest prime factor of $n(n + 1)$?
373,#373,solved,53.0,3,1,5,2,existence,"Enumerate all factorial product representations for small n (say n up to 50) computationally, then analyze growth rates analytically to bound solutions","The objects are elementary (factorials, integers) and small cases are computationally checkable, but the finiteness claim is asymptotic/global and requires analytic arguments (e.g., comparing prime valuations or growth rates) rather than finite search. Known partial results exist but a full proof likely needs a non-trivial number-theoretic argument.","Show that the equation $$n! = a_1!a_2!\cdots a_k!,$$ with $n - 1 > a_1 \geq a_2 \geq \cdots \geq a_k \geq 2$, has only finitely many solutions."
1003,#1003,open,53.0,3,1,5,2,universal,needs proof - deprioritize,"The objects are completely elementary (Euler totient, integers) and small cases are trivially computable, but the problem asks for infinitely many solutions—no finite computation can resolve an infinitary existence claim. This is a hard open problem likely requiring deep analytic number theory; computational experiments can only accumulate examples, not prove infinitude.","Are there infinitely many solutions to $\phi(n) = \phi(n + 1)$, where $\phi$ is the Euler totient function?"
1065,#1065,open,53.0,3,1,5,2,existence,Enumerate primes p and check if p-1 has the form 2^k*q or 2^k*3^l*q with q prime; gather density statistics up to large bounds,"The objects are elementary (primes, basic factorization) and computational experiments can gather strong heuristic evidence about density, but proving infinitude of such primes requires deep analytic number theory (likely beyond Dirichlet/sieve methods in current form). This is an existence/infinitude question so counterexample search doesn't apply.",Are there infinitely many primes $p$ such that $p = 2^k q + 1$ for some prime $q$ and $k \geq 0$? Or $p = 2^k 3^l q + 1$?
